business_id,attributes_BikeParking,attributes_BusinessAcceptsCreditCards,attributes_GoodForKids,attributes_HasTV,attributes_NoiseLevel,attributes_OutdoorSeating,attributes_RestaurantsDelivery,attributes_RestaurantsGoodForGroups,attributes_RestaurantsPriceRange2,attributes_RestaurantsReservations,attributes_RestaurantsTableService,attributes_RestaurantsTakeOut,attributes_WheelchairAccessible,bus_review_count,bus_avg_stars
KuxDPl6UYNLxFChPm0_MNw,1,1,0,0,2,1,0,1,2.0,1,1,1,0,146,4.0
6SAfQKe2oM5g_EtcYXyAMg,1,1,1,1,2,1,0,1,1.0,0,0,1,1,277,4.0
upB0RQl-l529IVwgOpwOQQ,0,0,0,1,2,1,0,1,1.0,0,0,1,1,102,4.5
TulmRC5V0--dnXYd_GOSvA,1,1,1,1,2,0,0,1,2.0,0,1,1,1,242,4.0
yqYtY3-Po4OVPafA9Z-Xyw,1,1,1,1,2,0,0,1,2.0,1,1,1,1,230,3.5
i90S4tfxFm0W2FZnhpJV3A,0,0,0,0,2,0,0,0,2.0,0,0,0,0,113,4.0
xqbvqZHNyj2qExHdizzd0w,1,1,1,1,2,0,1,1,2.0,0,1,1,1,110,3.0
aXWN4oH8W-MVDchWia084g,1,0,1,0,2,0,0,0,1.0,0,0,1,0,105,4.0
a8ACgZ_bPPT6iRQ6R7Ridg,0,0,0,0,2,0,0,0,2.0,0,0,0,0,103,3.5
V6rzs-QgnuW1CdOn-23nNw,0,1,0,1,0,1,0,1,3.0,1,1,1,1,234,4.0
JmXYTZcMZpcNINM5ldvEAw,0,1,0,1,1,0,0,0,2.0,0,1,1,0,114,1.5
dOkrbSdJ3FxXhGqdOHgL9A,1,1,0,1,0,1,0,1,2.0,1,1,1,1,257,3.5
Kal1hFMTEzdXYpa5MNzUPw,1,1,1,0,2,0,0,1,1.0,0,0,1,0,121,4.0
5Ip4_yFvx3sz4qMqxl-4mw,1,0,1,1,2,1,0,1,1.0,0,0,1,1,147,4.0
dSNDFR5VenZr-Q2itNvzHQ,1,1,1,1,2,1,0,1,2.0,1,1,1,1,446,3.5
SQ5we-HZLsFpj8ppMtEBcQ,1,1,1,1,2,0,0,1,2.0,1,1,1,1,230,3.0
bzI2YREsxDomhVvvaZmcSw,1,1,0,0,2,0,0,0,2.0,0,0,0,1,132,4.0
1SCETxRnwaYo2aBC3fi4SA,1,1,0,0,2,0,0,0,2.0,1,1,0,0,117,4.5
