user_id,user_avg_stars,user_review_count,user_useful
UxfpKHGO2dfQCdS9xLLJow,2.83,6,7
Kr5NDQFPPB_01-5CDmSqVg,3.0,4,0
wfoeMtriLwZsdRzcxNTaFA,3.09,10,2
aXb0kCIsIbPEEUSGomrrmA,4.0,4,0
sLrX2KGu3lc_JczAnsg0_Q,4.0,1,0
nmYitfmo-pQ1hJWDnTLwGg,3.33,12,3
5tm0BfJEWGJWowr3sPGb8Q,4.0,4,0
PzHuq79aP6G25kEv-hejOA,1.5,2,0
GVYg18F-Rkuk63hvtHoG5Q,1.0,3,0
0IqKVB1rbaDyz0wlefmiAA,2.33,3,0
Xa5-jiXsUBp5dXpGfc4FsQ,5.0,3,2
EJz2Cbe0dfe1ESqAnKm6IA,3.2,5,0
AolnyiEB_UMlQtD_dp5E9g,3.92,12,0
H0YMJC37tK41ez5i4Zpl6g,5.0,1,0
YOv5yrFsKmhWstyokKqoUw,1.0,2,0
R60n9HyCV2lde8RPfcGN5A,1.0,1,0
fdrPsVEQX8EPaPd96o58Nw,4.67,6,0
deHgmqaKc2HctB9uTJsvDA,3.92,50,4
1pNRnbTqpc4mcVeiNF72iw,5.0,3,0
vfttwzyvyrsVcioAiQUfIg,5.0,1,0
w_dZ3beSUs_wwkkPudBrsw,4.0,8,2
ThEUWXkgLbi5RiulgybrTA,4.0,1,0
FsQnb4uPIAf3RP3DTHTF7A,2.0,4,0
f-B7cfDygv9WODfX6gGUxw,3.57,7,2
am939PCn6atEdrhK6hRRiQ,5.0,1,0
FGGnzZCsx4fOCW5oqX5f4g,5.0,1,0
L5mQ7YWJNf6KKvvWLggEBQ,4.0,3,0
JesJ-LaNfr3pKhL7gWhDrw,2.33,3,0
2dhWQjaSPDe0ifDwGT-A5A,4.17,6,8
dxLg69qHeIDbl66pTk-5FQ,2.91,75,2
hZgch3SOFgr5jm23T0SCjg,3.56,17,10
oIAPsNCkkc9MtXxnYOhT-Q,1.0,1,0
vhlsUCY_IfAPeBeeur-Jiw,5.0,1,0
87YnDirV5YR5yI1alHeizw,3.83,30,0
b0Y-HvP4LUFbU4uiEQqXWQ,5.0,1,0
Rw4Q9-0JKZkBr5KUekWfkA,3.75,8,0
O_hOR5Fag8j8Ygo842Uobg,5.0,1,1
FvG1_-tIB7ji_MCvyWPAXQ,2.67,3,0
0TJ01iwzVLXtr_EYcfqoWQ,3.67,3,0
9WygAG77sA_q95_L9uuHJg,4.0,1,0
MhcijFn4eV-Lb5ufFOb8hQ,5.0,3,0
XOxugWWHN0flhNSZFrSvLw,3.25,4,1
qASoZhkFWJPvlWnfB5UUnw,5.0,1,0
VBG-VBPmxh-xMbrzmzLp-w,5.0,2,1
hvtmM5FCOPzUX3je6SbBLg,5.0,1,0
KvW0TRHvwafvwCgGWZEczA,5.0,3,1
4ktzdxAiFN-zEdGfxgFeig,3.63,32,5
yri0zxteJ3f5DI371G8Hag,5.0,4,1
pVgm4YfBy4zNAq91IWY2pQ,3.5,8,0
Q0EEgaj62GMLwsLKeqtSHA,3.86,36,7
rMYJ7lWOSRscx63vD7U2tA,5.0,1,0
UiHd7ZFJ6bDkBPgCABHNxA,4.33,3,0
yRB0zZIJudXvc6QzstZ4eg,5.0,2,1
YfoSvNRDDAiUr2FGUK9cWQ,4.29,7,0
8sTBiDWeNjKb-YFIaK2-Zw,4.75,4,0
o6-St8GEgvRK4lYcikw9Xg,5.0,3,2
81y-bRH7v9UGa9fBavryZg,5.0,5,0
gnm0widFz6USjqRFIpB_6A,3.91,23,6
FnNmbt953nh7H3Hv6zo42w,4.14,42,38
AzUvdv9VZqj8HsVy69Yayw,4.8,5,0
JquHxkYXgQnUrgqJKMG4qQ,4.71,17,6
6xBgALf_e2Wb5V0MJHMn7w,4.11,9,2
IE6rbmXeoJHcs0uQqhN-Aw,3.88,22,1
DZRAr9DJkcKbw_IbujZrhw,3.13,14,4
bOkTNMHm03jfWbqqrDCYvA,1.0,1,4
dZHX2lbT0rOrSLgIa_ySYg,5.0,1,0
swaU8v1SRSeoXwlyErROtA,3.83,18,1
OXRmD-2v-ljLSyqfwgZ5hA,4.5,4,0
0W2ADIO0GE10DkRG-tWcnw,4.57,7,0
alUuOskFSl1bODjnce2PpQ,3.67,6,2
q-Y6atM7gE4TDSINLBnQKg,2.0,1,0
4nZlMrDw-mrvmfEVT-cQrw,3.68,18,1
6wB4-Qeb6lMK6799IitdLQ,3.33,14,0
HZocdxC4t0WzRpB6MUJj_g,3.91,11,7
-aUs0WOofjsPel8ZE2LFMQ,4.21,41,4
44PPgfbMXlAABLwUvgz-KA,4.0,5,0
mzH4EVOsoe0yHyf7O2Piog,3.43,13,6
Hb_zrUw0VFoefyT9SZf-ag,3.59,16,3
5PJt1v7ACoJQARQZQDhALQ,1.8,5,0
SkkWcntXiYiv9BwvhwdaMg,3.9,9,0
p6w8GppWjm8jh1xdwWbKZQ,4.0,2,0
bCQvX1vXTmhFXCvz8e3lXg,3.68,21,4
YhjLgjoBoHiDBA4spRmOIQ,3.46,26,1
p7KpwlPgfpUPQGeD-8bCvw,3.86,7,7
Tt4jSRisecMG5I4PE07loQ,3.18,16,5
ZKFrJf2ZNWlvmIiWxA4HKA,5.0,3,0
8WmBUTnQJJxDfKi0t8aeUw,3.57,7,0
fqvTZClASDQlAP9r60mrag,3.42,67,79
Ngk1xrFwZVsn5mI-4RCpcg,2.0,1,0
c150dudFhwkA5xMCv0D03w,4.86,6,0
rJhhU3vOpJyAJC2TQqkXEw,3.51,58,364
u_l5-Z07yZaI6-3ZI_UYiA,1.0,1,1
ygTOUjS35I7v92NXXLWQ1Q,5.0,5,0
smDOqPzFNUNmE5qs1QzvhQ,3.0,2,1
ZgLOqb32D9L1_T_7_3E2ug,3.18,17,0
kImOxFH_AGKgBeSgHGsBFA,4.54,13,3
dzcQRVpU7VCFsQ6vx18C3Q,5.0,1,0
oDXYk3TTGuOHR3RP12O3JA,3.0,1,0
pYjnfD7b53vvUY6vM5g9DQ,3.83,17,11
Y0eX6L9sIucHFZ4c4v1LmQ,5.0,1,0
FadewNTxVINfAxou0FoAyg,5.0,9,19
G-W6KhH3E3sRZQZDrCQLPw,4.11,17,2
w5EuoYih4-qcLpBYcJ68mA,5.0,1,1
SgeLrwgl_DopvFP0ar0T4g,3.5,11,16
r6xuhxEFHGgJWHfXAW8kNg,4.0,8,0
z82uBk0RiuZuhrCSjdYFlw,3.98,49,0
wnR7EALFxneYhjLZpU7tpg,4.5,8,0
tpH9sacDCWUWxtplAnZriw,5.0,6,0
7WqB3caoFCjUxwb8cUlq_A,3.14,56,23
2IevXBb7oUoDsvM1CS8zjQ,5.0,3,0
TjYSZ7ySJjRzCmLWq3K1tg,3.67,3,0
kw_GNqfkRiwog5UIsk7s2w,5.0,4,0
rt3PC7WCgCKsoufmQJELfw,4.28,18,0
SE-uuSFc7k1nc4Y9I42_yQ,3.4,5,11
aDflGHRX8_5CvQSmeCgAUA,1.5,6,1
ew24h_pf52PeR03o3YXZ9w,4.11,8,0
a68Rb4Wq2PzP6Kcif1-Hiw,5.0,1,0
cnab2lH02dtnFeh-eQP-sg,4.5,2,1
gA2eKmOUJ-s9DYoz85nhvg,2.6,5,0
XyTrkNoUGGR7auk4Mt6RRw,3.6,5,0
uCPDsSaep6PjgfR3We7y2w,4.37,24,0
i2B6LFJ6sJGq03ooznvu8A,4.8,10,6
ghSVEE9POneV1ZMcyEL_ng,3.33,2,0
LxoFJ-fMDFLn67NgaM8c1g,3.0,1,2
9SP0Ni8qIMYrp4LN5fOGwA,3.91,32,0
NFyUjKOb-fmcqFuyKEAcow,3.0,2,0
JsxyfQC6L3ARDeXvY0va1w,2.23,36,0
dJ6KMk62AI8vZnyWxxYgyw,4.33,41,1
2VWCckc8yr0lCnUQs8DvoA,5.0,5,0
_ZGQo0FTEFDd_iwvxmGq0w,4.83,39,1
u5v6IU89qZ80RI3zRLa1LQ,3.7,27,5
x_Sy1ENHivEFoJxddykPSQ,2.0,1,0
YFNi4iTvFWqVWg3uAuhytA,3.86,24,13
P6TgFX-iMpyf94qNtJJFGw,4.15,33,1
DfWFyVihtnNCaZ3ijtZhjA,2.86,6,0
E7QDUCO3XdBEmJytbi3V0w,1.0,1,1
B9D5QlZNW8iC8tcKgEKwrA,5.0,1,0
ND8d7Stcq5RnF_U2lgfP1Q,3.8,5,10
QbnYIiCe2QFBx6gB1SSH8A,1.67,3,0
Yai7jJKpTHfTIxYaePx3pQ,3.0,10,19
vWWAtyKvwC1onk49xXn8uQ,1.0,1,0
_PpQwHGMilGPAkihJrLCXQ,3.83,6,1
1oJSzcgOiKhOag8UDjF4Mw,2.97,36,6
n2MxY0DJVLjbBBzv4G6LTg,4.33,6,0
i3Qg1cbzjpXgYfDuZ0MhXQ,3.44,14,0
eZAk1y5CuKDN0QUlN5XPgQ,4.33,5,4
8a8bc5LQLCcDmXeTudEn9g,2.0,1,0
9xsEZSMT8i32HT0nBzOV3A,3.0,2,0
df616h7n58jbHfYO5OdbvA,4.63,8,0
DSyKvy1UloUdu2el02kxiA,1.5,6,2
QJ-WOMwFWcKO4vDX36WBEA,3.33,3,1
Vqd-iCM5Xh9j9V2pbWp3Ew,4.3,40,2
O0a3f4j4fTJZKB2ag1uNsQ,4.17,4,2
a7FGAupERK5aJXfKGn_v-Q,3.26,22,1
wqo5uQeR_FV2y9PzLntk2w,5.0,2,0
ux680DJNbuByTiofJSZnmw,4.0,1,0
OSMtvsQlu3h-GY4TsbuOYQ,4.0,3,0
hDyKx0dtuKOsIgHzj1716w,5.0,2,0
58HJlZSO9P4RcRJ4ZKPmyg,4.15,18,36
Bx9eipleQL2MXYnIF2NgQQ,5.0,1,0
NXMI-lOp9QuoS0CIlyQ-tg,4.27,9,24
C-uO013GA3y2SU4numPbYA,4.17,5,4
k64wNR8SODQlqM0H8ZCkHw,4.33,3,3
F8Z6wWzH3PsuKy5Zh6NiYA,4.0,1,0
pIIuu-n4BsUuChMp0_1VnA,5.0,1,0
_NrdyzkZSJj4IYqgQeXdTg,3.57,7,0
NFYdYvdvZMoSgzDtBC0iEw,3.0,3,1
kDZM1Y8_7N9X0HyhG1UyjQ,3.45,47,5
AP6lmQpff0-bPdIT3my54Q,5.0,2,1
UPf5Wt06kxhLc-eR_TzWpg,4.37,19,0
PQxvqZZU_GATyYylNUTWyw,3.67,2,7
LhehNhjwNYRAG-XUkeZHXA,2.58,19,0
eVIQ4H_S2kFkNMIh8R6FVw,1.0,1,0
3HwuU-XVqLJMtIvHK-EdDg,4.0,1,0
k5cw4dMBqsq1o6SWZNTllQ,4.0,3,1
yrSbNu7sbRo6ZNAPruyJqA,2.75,4,0
HiA9-Ro0-bwXnhJnhQTAOw,2.33,3,0
BjOyZ7iEDEonMJI5SNjnxw,5.0,1,0
BVXreTN_9mw1DnFcdBnI_w,3.78,18,0
TC-XTCPBW2LpsLiBGgn5Pg,3.6,10,0
2MtwK89lo6o96d6lkyEh2Q,4.47,60,1
OpyK8x1urQFyapnLK1vMPg,3.29,14,1
lZ7C5DBpTKdbPRc8TMxuSQ,4.0,4,0
mg80wcmp3zYDZxFWtxfvYg,3.84,24,3
NNkm4s1Vxzblia6eGi4Mdw,4.5,2,0
ZwxImTNnKZ_kEzmflu9Nrg,3.71,55,0
GlLgeoHQr2CX4mRulzs2ZQ,4.4,5,0
UfkC-_CFC3Z9kEa-Ddv1zg,1.69,25,0
bwe1-cCWErkTH00Fhn96jw,4.15,20,1
